road,Base values,Predicted values
7573,614.2172182,1671.6816
10028,1064.384956,1843.8416
6334,1523.456372,1682.8816
9350,476.8589126,1630.4016
10804,1481.252026,1982.4016
8351,754.0639303,43.046494
11113,428.7684348,0.001496087
630,792.0213846,0.001496087
5072,898.7618046,1928.3216
8922,1650.309607,43.046494
8015,362.2859229,918
529,603.760633,2072.1584
1123,353.1095734,43.071494
2168,1163.173359,781.8415
6956,340.7495735,43.071494
13350,1764.744826,43.101494
11380,449.3145896,1671.6816
2391,1384.335058,8919.599
4221,594.7489833,4017.2784
11287,1429.054632,4037.2784
9922,346.7350854,0.001496087
8652,114.8862669,1974.7216
12601,1349.494218,0.001496087
13335,895.643205,1660.4816
1552,821.1433235,1634.7216
13080,76.82446253,43.096494
6565,559.2158374,1679.6816
9259,1689.368032,3683.8384
1609,1154.962787,43.086494
5980,1604.038957,7170.359
28,545.4973043,43.071494
730,629.4455722,43.096494
10845,2736.456465,1658.5616
11809,1212.240081,0.001496087
13121,962.2860691,1599.0416
5772,379.1676239,0.001496087
9643,1060.351974,5829.359
7707,1727.549863,1602.0816
8304,776.6956523,43.106494
6983,129.3893331,1974.7216
10086,1891.821993,4007.0384
6020,2035.840204,1658.5616
5903,1473.421406,43.071494
13259,163.6436523,1680.3216
953,336.9799499,1630.0816
12167,558.7132051,0.001496087
1472,410.6645469,2911.6784
2207,673.4889844,43.086494
12907,529.3223786,43.071494
7730,393.0983043,1486.4016
13407,646.962693,43.071494
8995,1429.821682,43.061494
6661,1290.59294,1660.4816
4137,462.3348046,1900.3216
8037,1588.661638,43.066494
7134,635.0836195,1633.6016
12378,515.4478647,43.086494
12526,847.8903615,0.001496087
10507,1638.093794,43.111494
5031,158.2476514,1680.3216
6837,689.3607593,43.086494
13123,2230.821351,1688.4816
7456,2045.209688,1688.4816
12207,866.2108913,1679.6816
4867,142.8861731,43.086494
12401,1903.281983,0.001496087
10264,1637.708375,1982.4016
12494,748.4942645,1900.3216
13274,1110.580993,781.7615
8212,820.311801,43.081494
1998,290.4607469,1476.0016
3202,250.1469567,258.0615
11454,566.7686145,43.076494
11322,338.8002689,2073.5984
6172,1215.931988,43.086494
6557,1753.659654,43.106494
12933,1539.595878,0.001496087
8013,690.9625752,0.001496087
9261,2293.902249,111.14149
5735,936.2364198,4349.5984
4112,438.2440812,0.001496087
6030,732.484408,43.141494
12468,671.2436695,43.091494
6401,787.4508262,10093.119
4656,659.8489087,43.086494
6370,566.761452,3238.7184
8936,738.3834673,43.081494
871,728.2885323,1634.7216
11979,1079.901897,51.461494
7596,240.6455098,43.101494
9302,614.6282667,1633.2816
6853,260.7452831,43.076494
10970,592.4835591,43.091494
3647,864.4462793,43.101494
2842,951.1148122,43.086494
5099,1651.415168,43.081494
6064,1247.294876,0.001496087
