road,start node,end node,AADT
6664,1864948029,1864947989,0.02
2404,183835157,183835153,0.03
3975,183960729,183899009,0.08
11290,7168113145,7168113155,0.01
1026,4562886600,4562886601,0.46
9676,183897810,183904141,23.80
2618,8111179807,8111179808,2.30
2238,6979705275,183873480,0.04
788,183867499,183937915,0.00
10111,183832488,183776941,0.01
1835,183906664,183906668,9.76
1831,8110362143,8428187884,37.60
11918,183941710,183937953,0.17
3707,183983565,183830726,111.28
9688,183975973,183937417,0.02
12837,6769420053,183864726,0.33
5441,7627846773,7627846778,0.01
214,7059534096,2260401545,65.68
8107,7166348956,3006027297,0.00
4534,183901153,183889114,0.00
3051,6785875163,6785875171,0.00
6589,7168837291,183962931,5.49
4539,183899125,183871307,0.07
3509,183809945,183812421,1.25
6998,183897343,183897327,30.82
12082,8411584991,8411584997,0.01
9144,8428203886,8428203887,0.00
10741,4068942425,4068942411,0.03
11874,7184325487,7184325490,0.37
5395,4562886879,6950234967,0.02
3902,183913036,183936169,0.01
752,183937424,183986194,0.05
3541,183905720,6986759562,4.43
9483,183951660,183937327,0.00
1642,183918428,7059737696,0.06
12167,6979767550,183885442,6635.98
6570,6979088814,6979088812,0.00
4279,6950794062,6950794067,4.63
13186,183882311,183937369,24.46
9963,183898987,183904184,0.27
88,7129703924,7129703933,10.37
11388,183856487,183867964,67.12
8273,8112172793,183951646,0.01
11861,7168837312,7168837314,0.00
2589,8428196968,8428196967,14.06
8001,183856045,183856049,0.22
8221,6782612341,8110362149,167.23
11223,183924795,183999892,0.00
11756,183935495,183971591,0.00
7347,183875607,183923683,0.00
2868,1864947027,1864946850,51.66
12249,8105835417,8110649091,4.67
7501,8110362175,183922032,7.88
5679,7627848692,7627848688,0.02
3244,4095531985,4095531947,0.00
11744,183937409,183969749,57.92
490,183830726,183830723,145.98
11425,183869831,183983512,0.62
1517,8111053264,183936169,17.10
979,183932536,183938254,104.54
10533,6948053703,6948053710,15.13
1462,4095533643,4095533641,0.00
9636,183835171,183835179,0.44
3203,183871011,183938209,0.00
12319,183880974,183882981,60.65
6170,183866353,183879309,109.87
6000,183868390,183868386,0.01
12927,183980452,183856119,4.86
5500,183951654,8393359237,0.00
9664,2937774290,7489608241,0.05
13311,8424358888,183878244,0.01
11986,7071526481,7071554786,8.53
11492,6785875146,6785875149,48.01
10643,183873483,183873480,7.72
10066,7171212854,7171212861,4.82
11,8110362174,8110362165,65.34
1048,8428187880,183852596,0.10
3520,183889090,8111316129,0.53
5675,183937315,183975978,0.00
4092,4095533657,4095533660,0.00
8409,8459847553,7265562048,0.00
11054,7050980867,183943866,25.15
3385,7085786374,183916993,49.38
9497,6951413285,6951413286,0.10
10612,183882314,8424358890,26.06
8863,1871373264,1871373349,0.00
3746,183848217,183795503,0.00
6243,6785985481,6785875163,0.00
1020,183873457,394487854,266.87
3680,183925153,183959414,0.05
11032,183871321,7244268175,44.04
1494,183904020,183904018,30.28
11894,183840645,183840680,1.46
12923,1864946755,1864947637,0.01
2029,183830759,183935730,0.02
5450,7066183502,7066183498,0.01
9731,2937774107,2937774109,2.04
2992,8429583353,7769153894,0.00
7612,183937843,183937915,0.08
8541,4562886618,4562886612,0.66
161,8393513075,183824464,3.66
11794,6785875139,6785875137,0.26
10992,8114205147,6968266745,26.62
11112,7436492845,183892710,0.51
491,183830726,183983565,0.12
2214,6951413331,6951413338,0.00
201,183856059,7079509460,38.26
3865,183832391,183832403,13.03
1962,2260401539,1999307436,0.01
3757,183951118,4095531929,0.00
12673,6784847592,6784847591,208.65
7049,7059198766,7059198768,29.79
12450,2722360256,2722360271,5.26
10475,183984643,183856056,0.01
12361,8110362185,8110362186,0.00
8089,183830715,183830718,167.23
9880,8111318657,8123518496,0.00
12063,183937319,183937323,8.49
5102,183893674,183866379,0.00
3973,1864947867,1864948029,12.92
5026,8112172780,8112172774,0.00
10645,183873483,183878233,38.99
11814,183896198,8110477834,0.00
6845,8113919864,8113919856,0.00
610,6969216440,6969216443,0.49
4648,4562887027,4562887030,7.02
5971,7764411964,183784629,0.08
3827,183936601,183878434,177.63
1122,8111495885,8111495884,0.00
7900,8411584966,8411584964,0.96
2884,8110902535,183777055,15.95
2791,8127662013,183904197,10.09
5228,183918012,183777249,0.08
11389,183856487,183867964,67.12
2931,6771397286,6771384083,0.01
7915,183879724,183879325,936.85
687,6950246415,6950246403,43.33
7427,6825017390,183978611,90.72
10159,183936833,183896176,16.94
2068,7113679686,183855732,0.00
4571,183830743,183973881,0.02
3428,183832497,6957604123,0.22
12395,7171212873,7246649192,8.87
1161,7079520999,8110346544,0.05
12426,7129703926,7129703938,0.07
10521,6784793680,6784793672,278.16
11872,8428305871,7169486675,0.00
12174,183962521,7244268179,0.00
10386,2260401542,2260401545,0.12
11840,183985529,183969749,96.04
6085,8428297418,8428292005,0.01
11716,6976662179,7007439333,0.46
3461,8411584967,183897596,0.00
7444,6501199092,6501199113,0.00
9739,183922032,8110362175,35.73
13174,8428456457,8428456470,0.51
3908,183962661,183867964,0.09
10903,7035917792,7035917791,0.01
11360,8428523564,183896308,0.07
3809,183887408,183887399,5.53
13075,8310215791,183895998,7.47
5946,183794829,183781088,2548.55
1913,7129703923,7129703924,20.84
4753,7079509462,7079521001,0.01
8688,6785875147,6785875152,0.03
1751,8428643853,183921753,43.85
1039,183905412,8113686907,0.22
783,7168837314,7168837296,0.00
10921,7071554791,7071554787,0.00
3370,183936157,183936162,15.01
8157,7079509464,7539686861,31.30
9566,8114983933,8114983935,0.00
1622,183904213,183853815,0.09
9730,2937774107,2937774108,3.46
13098,8425612824,8112172793,0.00
1139,8123142925,183950920,0.39
152,183830733,183935698,70.69
718,183899288,6766453912,0.00
9252,6785802986,6785802985,0.00
7307,183832435,183913105,0.08
8776,8428203878,183793420,0.02
3202,183871011,498697410,5680.06
12388,183879596,183883776,0.76
1990,8428297754,6948053713,0.93
7078,183962958,183832456,0.00
12331,183904132,183898621,0.02
11480,8110362186,8110362185,1.11
10415,6948053716,8428297752,8.37
6340,7187285158,7187285159,0.99
4005,6866308975,6866308982,0.08
225,7168837292,7168837290,0.00
8047,183969708,8428624777,18.33
11161,183908651,183941652,0.10
12814,183887217,183887225,40.93
10211,183947140,183894645,52.27
10468,1871358866,1871358734,0.00
7542,2937774084,2937774085,11.34
8088,183830715,183830718,167.23
277,183814874,8095362764,10.24
9753,4562886878,4562886629,31.96
11072,7170981393,7170981395,0.02
9419,7134753983,7134784389,223.79
5521,183903224,183924774,0.15
1496,183904020,183954995,80.55
1892,7153569214,183904196,73.09
2089,183908657,8428305870,0.00
5553,1363242439,183941891,0.00
876,183887235,183887230,0.11
5475,183941649,183941652,15.42
7476,6950796909,8429128434,3.47
11799,183888204,183888205,0.00
1436,7199513891,183832452,19.02
8565,3049413473,3049413439,0.01
1968,183902473,183902469,189.34
13005,183897798,183897810,1.82
6593,183937369,183937384,84.61
5973,7764411964,7764411968,0.01
7089,7171212855,183779261,0.01
