road,start node,end node,AADT
5651,8110362188,8110362182,190048.16
1023,4562886600,4562886601,106928.15
3948,183882981,183880099,4309.1494
525,3049413439,3049413473,71448.15
6200,6950246403,6782612310,166400.16
72,8428292005,8428297418,197472.16
6264,183947703,6782612323,-435919.84
9172,2722360271,2722360307,63780.15
404,183877970,183903219,4308.6494
7909,1871373042,1871373338,43848.15
12945,183967605,183893674,4312.1494
4161,2937774091,2937774085,68832.15
434,8428456470,8428456464,197504.16
9171,2722360271,2722360256,63780.15
2705,183878255,183873500,4308.6494
4105,183941632,8111669219,-209135.84
12187,183887213,183887217,4309.1494
10738,4068942425,4068942411,95336.15
11060,8385918193,5929703102,289488.16
9710,183993148,183996542,4311.6494
5791,6788254727,183856059,0.14960873
11350,520948266,520948272,12208.149
4349,2722529963,2722529928,63784.15
6443,6948053731,6948053725,162784.16
8051,8429128434,6950796909,198800.16
6172,183866353,183866359,4308.6494
568,5929703101,5929703105,138944.16
5289,183887290,183864102,4310.6494
12745,183868818,183884055,4307.6494
7419,8393359237,183937319,0.14960873
11781,7153569218,7153569214,167632.16
1601,183899126,7544018192,-305615.84
4636,183905935,183801907,4311.6494
10610,8428266588,8428266590,197472.16
3033,183830745,183935717,4305.6494
290,6950796904,6950796910,162880.16
7350,183782339,183782354,4305.6494
12646,8428243170,6948642183,198896.16
5130,8428269530,8428269536,197488.16
11648,7425215987,7425215986,173984.16
5513,183883776,183883867,4309.6494
7665,8428243171,6948642183,198896.16
3869,183832391,183913043,4305.6494
6327,8122547438,8122547434,190304.16
12070,183937319,8393359237,-161039.84
5255,8110362144,8428187886,183392.16
12417,183892896,183892886,4308.1494
3616,6950246410,183922032,0.14960873
4009,183896126,183896113,4309.1494
6101,183917939,183906710,4309.6494
3576,6785875131,6785875134,159008.16
5829,6994547260,183824501,0.14960873
8521,183947904,183908906,4311.1494
1790,6863099420,6863099418,160816.16
6704,183978611,183990637,4310.6494
10659,6986989099,6986989089,163744.16
2752,183898623,183902924,4309.6494
4353,7244261455,7244261452,169728.16
4670,6957443485,6957443500,162992.16
13136,8428203885,8428203879,197440.16
7593,8111669221,8111669222,190064.16
9201,183897479,183862788,4310.6494
10410,6948053716,6948053717,162784.16
4430,183936149,183936157,4310.6494
10909,183891549,184000328,4306.6494
4827,6788254724,6788254722,159056.16
13026,183873473,183873476,4308.6494
2682,8430068834,8429583348,197520.16
106,7138527880,7138554286,167280.16
6362,6950234967,4562886622,275024.16
1579,2722363891,183978492,0.14960873
9459,7121860913,7121860914,166880.16
9427,183980454,183856482,4313.6494
10286,8428407902,183924792,0.14960873
5105,7028171716,183834033,0.14960873
122,8418028714,8418036018,197280.16
5898,183935884,183994046,4308.1494
5060,7566526735,7566526733,177280.16
7285,183893748,183869954,4309.6494
4218,183936836,183936833,4310.1494
8616,183795503,183933102,4303.1494
20,183894858,183894883,4309.1494
9211,3337049450,8393473497,902816.1
1637,183832492,8430447091,-153807.84
5193,183812479,183809901,4307.1494
2373,6753377202,183776933,0.14960873
10752,6976674525,6976674521,163456.16
1352,183935705,183830737,4311.1494
9039,183817368,183956616,4304.6494
2072,183983567,5915185811,-584215.9
5192,183832515,183776971,4309.1494
7471,183960759,183958553,4310.1494
6944,4095533660,4095533647,95968.15
6563,183897688,6771384078,-437407.84
4943,183904030,183864075,4310.1494
10040,6951413315,183852590,0.14960873
7023,8393901697,8393901701,196688.16
1037,183905412,183919775,4308.6494
6699,183814394,183786130,4308.1494
11778,4562886610,4562886612,106928.15
5815,7166476520,6969216444,172064.16
1685,183935730,7244647188,-356975.84
1837,183906664,183906662,4309.6494
8343,183971903,183856169,4313.1494
6631,183936176,183913039,4310.6494
7456,7205166269,7205166266,168848.16
661,8430546401,1864947059,0.14960873
7153,183903897,183903830,4308.6494
7473,183960759,183937369,4310.6494
5311,8394904139,183913028,0.14960873
12870,7035917795,7035917796,164880.16
4298,8111432510,8111432513,190064.16
4559,7217965811,7217965809,169136.16
8409,8459847553,7265562048,173696.16
11079,183950871,183972474,4310.1494
447,8111789595,8111789598,190064.16
9965,183919545,183919548,4309.6494
5205,183897795,183938664,4308.1494
4237,7288246898,7288246904,170736.16
10844,7079509483,7079509475,165856.16
11472,1871373338,1871373306,43848.15
11271,7035917796,183923911,0.14960873
6935,8428269535,183871017,0.14960873
6624,183950903,183869954,4312.1494
7038,183814013,7134838477,-374655.84
13386,183896411,183917939,4308.1494
75,183892717,183892713,4309.6494
7455,7205166269,7205166253,168848.16
11438,8428187886,8428187888,197472.16
649,183777297,7425215986,-324783.84
13182,183882311,8424358896,-155279.84
2983,183972009,183972005,4311.1494
5291,6948053710,6948053708,162784.16
7663,6788254715,6788254717,159056.16
10487,6863099400,6863099392,160816.16
13248,7333785346,7333785335,171824.16
8826,6931146677,6950820479,161984.16
6141,6973075330,6973075329,163392.16
5446,8428643297,183936864,0.14960873
11737,183937409,183937413,4309.1494
3227,183969149,7134753983,-376031.84
9855,183895004,183904213,4309.1494
6599,183937369,183960759,4308.6494
12934,5915185811,183983567,0.14960873
3205,7217965804,7217965803,169136.16
8557,7199503870,183832452,0.14960873
10689,7079520986,7079520993,165888.16
10347,7627846772,7627846773,178768.16
2735,183945496,183840684,4312.1494
2207,183897643,183897622,4308.6494
6558,183897688,6866308934,-421199.84
4085,8192842772,8192842766,191968.16
10137,8111742868,8111742861,190032.16
2010,183777235,183922068,4303.1494
7499,8110362175,183830708,0.14960873
10042,6951413315,8110362143,138512.16
8313,7081790968,7081790957,165920.16
2718,7436481988,7436471674,174240.16
6155,183937385,7129703938,-376623.84
8975,183849499,7244268179,-356239.84
11159,183908651,183969709,4307.6494
12315,183880974,183880101,4309.1494
7397,183908653,8428305869,-154815.84
11482,8110362186,8110362189,190048.16
3511,6948153693,6948153689,162800.16
5959,7187285166,7187285159,168416.16
1163,7079520999,7539686871,156208.16
12747,183800407,183800397,4306.6494
11471,1871373338,1871373042,43852.15
6576,183856499,183866379,4307.6494
4706,2937774082,2937774084,68832.15
4487,6782612315,6950246413,155376.16
5720,183892718,183892717,4309.6494
12320,183931287,183931293,4309.6494
7625,8428523552,183906714,0.14960873
6308,183888019,8123142917,-206703.84
1449,4564492376,4562886622,106984.15
11346,183876372,8430068834,-154239.84
9665,183929159,5929703089,-581255.9
2704,183878255,183882311,4308.1494
2785,183934104,183960305,4309.1494
4047,7539686868,183856067,0.14960873
4737,183776935,183776937,4306.6494
13262,183863704,183894883,4307.1494
7702,6951406043,6951406055,162912.16
7691,183919702,183943447,4309.1494
840,183905981,6869976550,-420639.84
2789,7691880583,8411584951,165120.16
2995,183898814,183941710,4308.6494
1522,6948053733,6948053730,162784.16
9053,183897824,183897820,4309.1494
2348,183941664,7161600882,-371199.84
13263,183863704,183837635,4309.1494
2540,183916117,183916115,4309.1494
11367,7539759038,183983543,0.14960873
9518,183908660,183908657,4309.6494
6549,6788254716,6788254713,159056.16
12189,183887213,8111789595,-208623.84
6286,7238979897,7238979894,169600.16
3817,7079521004,7079509462,165888.16
5783,394488175,394488169,9242.149
5927,183936842,183925159,4310.1494
6471,183936169,183913036,4310.6494
6821,6950794065,6950794064,162880.16
8536,4562886618,4562886622,106928.15
2482,183927371,8256552377,-184255.84
5702,183826447,183887185,4306.1494
10143,7643137932,7643137934,179056.16
12781,183913021,183969747,4308.1494
4291,6950820482,183803596,0.14960873
12963,7842099704,7842099699,183776.16
11970,7489608241,183856932,0.14960873
4565,7769151380,8429583353,168160.16
4523,183877972,183877970,4309.1494
7155,183903897,183903830,4308.6494
1805,8110367990,6950796904,167776.16
11327,183904169,183895004,4309.6494
6610,1864948040,1864947442,43704.15
1332,6986989087,6986972684,163696.16
3079,8424358892,7007465031,193264.16
12277,7544018196,183944728,0.14960873
10051,183904051,183904058,4308.6494
4462,7168837307,7168837308,167984.16
4967,183873467,8111179802,-208591.84
6423,2722360242,2722360241,63780.15
8612,183840684,183840680,4308.1494
10178,7127277888,7127277902,166992.16
11223,183924795,183999892,4308.6494
5716,7116024398,7116024394,166720.16
3040,8411584929,183842552,0.14960873
920,183957287,183835208,4312.6494
11513,183817400,183817422,4306.6494
11304,8256552378,8428330844,189824.16
13301,7138554287,8110362178,146816.16
8094,183830715,8110362154,-208367.84
10116,7071526468,7071526481,165680.16
6241,8310215779,183895963,0.14960873
5530,183983543,7539759055,-307071.84
7655,183916115,183927567,4309.6494
2594,8095362759,7691897402,100160.15
9021,2722360275,2722360273,63780.15
7479,6950796909,8429128425,131776.16
7410,6969100088,183903825,0.14960873
12136,8430447091,183835153,0.14960873
9192,8428297751,183777257,0.14960873
6122,183897817,183892886,4307.6494
3312,8110362181,8110362180,190048.16
8647,7218479589,7218479591,169104.16
2811,7130074347,7130074346,167056.16
